Iteration,Cohort,Sex,AFR
89,5,F,9.94571403083287
90,5,F,10.0487369209157
91,5,F,9.52925246886686
92,5,F,10.1969688847434
93,5,F,9.679705705992
94,5,F,9.68175148466723
95,5,F,9.96915417061177
96,5,F,10.2963680851425
97,5,F,9.75817771980774
98,5,F,10.0093680562465
99,5,F,9.57004442546601
100,5,F,9.78203743451302
1,6,F,9.65034474649236
2,6,F,9.56809363706932
3,6,F,9.70699950430487
4,6,F,9.44233583831795
5,6,F,9.92766677667751
6,6,F,9.57934896092705
7,6,F,9.71903567575704
8,6,F,10.2381911928054
9,6,F,9.4187612719917
10,6,F,10.0843528093561
11,6,F,9.69814433442303
12,6,F,10.3281504221433
13,6,F,9.69883464895991
14,6,F,9.65186821163096
15,6,F,9.46033118065776
16,6,F,9.73904331853762
17,6,F,9.37485906334134
18,6,F,9.98003704612128
19,6,F,9.37975488459145
20,6,F,9.8987870018118
21,6,F,9.51026027872383
22,6,F,9.94177474457205
23,6,F,10.0083452571964
24,6,F,9.38782447359939
25,6,F,9.63048289076998
26,6,F,9.43878913104179
27,6,F,9.33919767582939
28,6,F,9.57278689947721
29,6,F,9.77808206211491
30,6,F,9.90651004821853
31,6,F,9.98735077848507
32,6,F,9.73710540332035
33,6,F,9.54756679462583
34,6,F,9.4897756775575
35,6,F,9.7346176612808
36,6,F,9.79954293506873
37,6,F,9.60873288082346
38,6,F,9.45570101557395
39,6,F,9.48272519693073
40,6,F,9.80254643121152
41,6,F,9.78746443761716
42,6,F,9.6726559396781
43,6,F,9.63483800122835
44,6,F,9.61941540178663
45,6,F,9.51245395019492
46,6,F,9.65713384330004
47,6,F,9.62096673396116
48,6,F,9.19319730197004
49,6,F,9.57184717841025
50,6,F,9.99566112156871
51,6,F,9.69478896007635
52,6,F,9.17758790563897
53,6,F,9.60571582604448
54,6,F,9.13651279922317
55,6,F,9.51142291937602
56,6,F,9.39108896383915
57,6,F,9.37177911125991
58,6,F,9.48556080426945
59,6,F,9.3931249832257
60,6,F,9.30017047551654
61,6,F,9.58754204955926
62,6,F,9.82293977516755
63,6,F,9.72189153592878
64,6,F,9.92609846481652
65,6,F,9.31120996592603
66,6,F,9.78339167054576
67,6,F,9.56181233718485
68,6,F,9.46366514020191
69,6,F,9.45815772566825
70,6,F,10.0236508254589
71,6,F,9.26130327283341
72,6,F,9.41399015037
73,6,F,10.0178847970597
74,6,F,9.74105490965744
75,6,F,9.75768156548238
76,6,F,10.1807803974006
77,6,F,9.33687944653831
78,6,F,9.69647961812705
79,6,F,10.1311930871417
80,6,F,9.39507299864144
81,6,F,9.25282410551902
82,6,F,9.85725137997399
83,6,F,9.3041255076745
84,6,F,9.51263678567713
85,6,F,9.49027019182745
86,6,F,9.51306473598312
87,6,F,9.52901689249389
88,6,F,9.41316166833597
89,6,F,9.7833292007995
90,6,F,9.69535745477512
91,6,F,9.44580063103328
92,6,F,9.93246134273286
93,6,F,9.40431965100012
94,6,F,9.11612489306309
95,6,F,9.51944038410597
96,6,F,9.38693341066264
97,6,F,9.21625112240286
98,6,F,9.56127851890497
99,6,F,9.37582278652742
100,6,F,9.5942344988669
1,7,F,9.17114928298865
2,7,F,8.8168447467474
3,7,F,8.81310592796979
4,7,F,9.04852479303056
5,7,F,8.93944017565176
6,7,F,8.70849711176055
7,7,F,9.00045852178885
8,7,F,8.5406943229973
9,7,F,8.773058004957
10,7,F,8.58940040095233
11,7,F,9.22998554329072
12,7,F,8.95709025442054
13,7,F,8.88327997807117
14,7,F,9.0817287158499
15,7,F,8.85351166111312
16,7,F,9.0308321653475
17,7,F,8.88595043169226
18,7,F,8.92283816593233
19,7,F,8.81094804582967
20,7,F,9.16929950797971
21,7,F,8.78672393846309
22,7,F,9.11357519521826
23,7,F,8.86562547088666
24,7,F,9.1128286616138
25,7,F,8.66715059380866
26,7,F,8.69426661100002
27,7,F,8.79020812422043
28,7,F,9.07016210524578
29,7,F,8.66657580760756
30,7,F,9.05118072783021
31,7,F,8.87845297688974
32,7,F,9.1566202026512
33,7,F,8.84514379025158
34,7,F,8.77357487553135
35,7,F,8.69893878949859
36,7,F,8.63253024873781
37,7,F,8.92673591203042
38,7,F,8.88395608577475
39,7,F,8.88436360657887
40,7,F,8.79543407408964
41,7,F,8.4707845665659
42,7,F,9.0177439627272
43,7,F,8.88851875415657
44,7,F,8.64255380865558
45,7,F,9.22590170827598
46,7,F,8.64650944311325
47,7,F,8.716386578263
48,7,F,8.6876072307631
49,7,F,8.47190279630381
50,7,F,9.04068634797192
51,7,F,8.68008496862158
52,7,F,9.00578026957483
53,7,F,8.87795938343491
54,7,F,8.74196728245251
55,7,F,8.63577851140737
56,7,F,8.86623093157272
57,7,F,9.03994678610377
58,7,F,8.63173818047647
59,7,F,8.78616146882087
60,7,F,8.68168524311023
61,7,F,8.99192565649322
62,7,F,9.21160850299106
63,7,F,9.07049618463107
64,7,F,8.83173992347891
65,7,F,9.0212709939595
66,7,F,8.79325409713354
67,7,F,9.18073136587676
68,7,F,8.61271578829201
69,7,F,8.86257401723827
70,7,F,9.05343021951599
71,7,F,8.80643711665757
